"report_name","anon_report_name","report_start","report_end","landarea_cultivated","landarea_grass","landarea_noncropping","emissions_category","section","ecid","input_quantity","input_units","input_description","total_emissions_tCO2e","total_sequestration_tCO2e","scope_1_tCO2e","scope_1_CO2_tCO2e","scope_1_biogenic_CO2_tCO2e","scope_1_mechanical_CO2_tCO2e","scope_1_CH4_tCO2e","scope_1_mechanical_CH4_tCO2e","scope_1_otherbiogenic_CH4_tCO2e","scope_1_enteric_CH4_tCO2e","scope_1_manure_CH4_tCO2e","scope_1_N2O_tCO2e","scope_1_direct_N2O_tCO2e","scope_1_indirect_volatilisation_N2O_tCO2e","scope_1_mechanical_N2O_tCO2e","scope_1_otherGHG_tCO2e","scope_2_tCO2e","scope_2_CO2_tCO2e","scope_2_CH4_tCO2e","scope_2_N2O_tCO2e","scope_2_otherGHG_tCO2e","scope_3_tCO2e","scope_3_CO2_tCO2e","scope_3_CH4_tCO2e","scope_3_N2O_tCO2e","scope_3_otherGHG_tCO2e","scope_4_tCO2e","kg_manure","emission_name","harvested_area","dry_matter_intake","livestock_bought","livestock_sold","slurry_%","farm_yard_manure_%","in_field_manure_%","spread_%","spreading_grassland_%","spreading_arable_%","animal_weight_kg","ko_%","wool_produced_kg","dairy_yield","milk_fat_%","milk_protein_%","eggs_produced"
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Fertilisers - Custom blend solid fertiliser","inputs","inpu_00022",20.4,"Tonnes",NA,34.8197,0,16.8626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.957,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Lime and mineral fertilisers - Lime - Ground limestone","crops","crop_00022",120,"Tonnes",NA,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,7.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Bedding - Bedding sand","livestock","live_00109",120,"Tonnes",NA,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,1.08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Livestock - Beef cattle - Bulls for breeding","livestock","live_00007",4,"Average head of livestock",NA,10.775,0,10.775,0,0,0,7.0884,0,0,6.4848,0.6036,3.6866,2.1572,1.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,9154.2,"0",NA,0,0,0,0,0,0,0,0,0,"1100",0,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Livestock - Beef cattle - Bulls for breeding","livestock","live_00007",1,"Average head of livestock",NA,2.3037,0,2.3037,0,0,0,1.7172,0,0,1.6212,0.096,0.5865,0.3432,0.1944,0,0,0,0,0,0,0,0,0,0,0,0,0,1456.35,"0",NA,0,0,0,0,0,0,0,0,0,"700",0,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Livestock - Beef cattle - Beef cattle (1+ years)","livestock","live_00005",96,"Average head of livestock",NA,275.1637,0,275.1637,0,0,0,214.8369,0,0,204.96,9.8769,60.3268,35.3001,19.9997,0,0,0,0,0,0,0,0,0,0,0,0,0,149796,"0",NA,0,0,0,0,0,0,0,0,0,"750",0,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Livestock - Beef cattle - Beef cattle (1+ years)","livestock","live_00005",8,"Average head of livestock",NA,20.9802,0,20.9802,0,0,0,17.6287,0,0,17.08,0.5487,3.3515,1.9611,1.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,8322,"0",NA,0,0,0,0,0,0,0,0,0,"500",0,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Livestock - Beef cattle - Beef replacement heifers","livestock","live_00009",22,"Average head of livestock",NA,44.898,0,44.898,0,0,0,31.9947,0,0,29.8822,2.1126,12.9032,7.5503,4.2777,0,0,0,0,0,0,0,0,0,0,0,0,0,32039.7,"0",NA,0,0,0,0,0,0,0,0,0,"700",0,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Livestock - Beef cattle - Beef finishing steers","livestock","live_00010",110,"Average head of livestock",NA,213.2986,0,213.2986,0,0,0,162.6073,0,0,154.308,8.2993,50.6913,29.6619,16.8053,0,0,0,0,0,0,0,0,0,0,0,0,0,125870.25,"0",NA,0,0,0,0,0,0,0,0,0,"550",0,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Livestock - Beef cattle - Beef cattle (1+ years)","livestock","live_00005",112,"Average head of livestock",NA,277.342,0,277.342,0,0,0,244.4974,0,0,239.12,5.3774,32.8446,19.219,10.8887,0,0,0,0,0,0,0,0,0,0,0,0,0,81555.6,"0",NA,0,0,0,0,0,0,0,0,0,"350",0,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Livestock - Dairy cattle - Calves (under 1 year)","livestock","live_00004",12,"Average head of livestock",NA,15.8183,0,15.8183,0,0,0,14.8582,0,0,14.6698,0.1884,0.9602,0.6128,0.2735,0,0,0,0,0,0,0,0,0,0,0,0,0,2496.6,"0",NA,0,0,0,0,0,0,0,0,0,"100",0,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Livestock - Sheep - Ewes","livestock","live_00015",30,"Average head of livestock",NA,6.631,0,6.631,0,0,0,6.0347,0,0,5.964,0.0707,0.5963,0.2315,0.2268,0,0,0,0,0,0,0,0,0,0,0,0,0,4220.13,"0",NA,0,0,0,0,0,0,0,0,0,"47",0,0,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Fertilisers - Generic solid fertilisers (average) - Urea (46% N)","inputs","inpu_00007",1.25,"Tonnes","0",4.2489,0,2.2364,0,0,0,0,0,0,0,0,2.2364,0,0,0,0,0,0,0,0,0,2.0125,0,0,0,2.0125,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Animal Feed - Feed blends - Cattle feeds - 18% CP starch compound","livestock","live_00060",17.5,"Tonnes",NA,17.4248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4248,0,0,0,17.4248,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Plastics - Average","waste","wast_00014",0.5,"Tonnes",NA,0.0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Plastics - HDPE","waste","wast_00015",0,"Tonnes",NA,0,-0.3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Operations & Contracting - Contracted operations (C.O) - Contracted baling (C.O) - Baling by area ~15 Round bales (C.O)","fuels","fuel_00075",123.6,"Hectares (ha)","0",3.326,0,2.7056,2.6719,0,0,0.0028,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0.6204,0,0,0,0.6204,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Operations & Contracting - Contractors red-diesel usage","fuels","fuel_00047",160,"Litres","0",0.5426,0,0.4414,0.4359,0,0,0.0004,0,0,0,0,0.0051,0,0,0,0,0,0,0,0,0,0.1012,0,0,0,0.1012,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Sprays - Generic spray products - Fungicide","inputs","inpu_00018",635.05,"Kg of active ingredient","0",18.5352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5352,0,0,0,18.5352,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Sprays - Generic spray products - Growth Regulator","inputs","inpu_00019",1083.6,"Kg of active ingredient","0",20.6361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6361,0,0,0,20.6361,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Sprays - Generic spray products - Herbicide","inputs","inpu_00020",1011.28,"Kg of active ingredient","0",26.9344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9344,0,0,0,26.9344,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Sprays - Generic spray products - Insecticide","inputs","inpu_00021",38.02,"Kg of active ingredient","0",0.7188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7188,0,0,0,0.7188,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Permanent Peat Wetland - Modelled","sequestration","sequ_00017",4.1,"Hectares (ha)",NA,0,-0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Woodland, agroforestry & silvopasture - Modelled - Average woodland options - Broadleaf woodland, no management","sequestration","sequ_00005",0.3,"Hectares (ha)",NA,0,-1.6222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Perennial crops - Modelled - Top Fruit (average)","sequestration","sequ_00009",0.1,"Hectares (ha)",NA,0,-0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Woodland, agroforestry & silvopasture - Modelled - Average woodland options - Mixed woodland, no management","sequestration","sequ_00003",0.5,"Hectares (ha)",NA,0,-2.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Hedgerows - Modelled - Managed hedgerow (generic)","sequestration","sequ_00007",8714,"Length in metres",NA,0,-4.7971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Woodland, agroforestry & silvopasture - Modelled - Individual field trees","sequestration","sequ_00006",445,"Number of trees",NA,0,-4.2373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Woodland, agroforestry & silvopasture - Modelled - Individual field trees","sequestration","sequ_00006",22,"Number of trees",NA,0,-0.2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
